Date,Year,Month No,Month,Quarter,Day,Day Name,Is Weekend
2024-01-01,2024,1,January,1,1,Monday,False
2024-01-02,2024,1,January,1,2,Tuesday,False
2024-01-03,2024,1,January,1,3,Wednesday,False
2024-01-04,2024,1,January,1,4,Thursday,False
2024-01-05,2024,1,January,1,5,Friday,False
2024-01-06,2024,1,January,1,6,Saturday,True
2024-01-07,2024,1,January,1,7,Sunday,True
2024-01-08,2024,1,January,1,8,Monday,False
2024-01-09,2024,1,January,1,9,Tuesday,False
2024-01-10,2024,1,January,1,10,Wednesday,False
2024-01-11,2024,1,January,1,11,Thursday,False
2024-01-12,2024,1,January,1,12,Friday,False
2024-01-13,2024,1,January,1,13,Saturday,True
2024-01-14,2024,1,January,1,14,Sunday,True
2024-01-15,2024,1,January,1,15,Monday,False
2024-01-16,2024,1,January,1,16,Tuesday,False
2024-01-17,2024,1,January,1,17,Wednesday,False
2024-01-18,2024,1,January,1,18,Thursday,False
2024-01-19,2024,1,January,1,19,Friday,False
2024-01-20,2024,1,January,1,20,Saturday,True
2024-01-21,2024,1,January,1,21,Sunday,True
2024-01-22,2024,1,January,1,22,Monday,False
2024-01-23,2024,1,January,1,23,Tuesday,False
2024-01-24,2024,1,January,1,24,Wednesday,False
2024-01-25,2024,1,January,1,25,Thursday,False
2024-01-26,2024,1,January,1,26,Friday,False
2024-01-27,2024,1,January,1,27,Saturday,True
2024-01-28,2024,1,January,1,28,Sunday,True
2024-01-29,2024,1,January,1,29,Monday,False
2024-01-30,2024,1,January,1,30,Tuesday,False
2024-01-31,2024,1,January,1,31,Wednesday,False
2024-02-01,2024,2,February,1,1,Thursday,False
2024-02-02,2024,2,February,1,2,Friday,False
2024-02-03,2024,2,February,1,3,Saturday,True
2024-02-04,2024,2,February,1,4,Sunday,True
2024-02-05,2024,2,February,1,5,Monday,False
2024-02-06,2024,2,February,1,6,Tuesday,False
2024-02-07,2024,2,February,1,7,Wednesday,False
2024-02-08,2024,2,February,1,8,Thursday,False
2024-02-09,2024,2,February,1,9,Friday,False
2024-02-10,2024,2,February,1,10,Saturday,True
2024-02-11,2024,2,February,1,11,Sunday,True
2024-02-12,2024,2,February,1,12,Monday,False
2024-02-13,2024,2,February,1,13,Tuesday,False
2024-02-14,2024,2,February,1,14,Wednesday,False
2024-02-15,2024,2,February,1,15,Thursday,False
2024-02-16,2024,2,February,1,16,Friday,False
2024-02-17,2024,2,February,1,17,Saturday,True
2024-02-18,2024,2,February,1,18,Sunday,True
2024-02-19,2024,2,February,1,19,Monday,False
2024-02-20,2024,2,February,1,20,Tuesday,False
2024-02-21,2024,2,February,1,21,Wednesday,False
2024-02-22,2024,2,February,1,22,Thursday,False
2024-02-23,2024,2,February,1,23,Friday,False
2024-02-24,2024,2,February,1,24,Saturday,True
2024-02-25,2024,2,February,1,25,Sunday,True
2024-02-26,2024,2,February,1,26,Monday,False
2024-02-27,2024,2,February,1,27,Tuesday,False
2024-02-28,2024,2,February,1,28,Wednesday,False
